14:31:48 INFO  application.ApplicationManager - Start browser CHROME
14:31:50 INFO  tests.TestBase - ==================================
14:31:50 INFO  tests.TestBase - Start on method - smokeTest
14:31:50 INFO  tests.TestBase - Start test with Data - []
14:31:52 INFO  tests.TestBase - End off method - smokeTest
14:31:52 INFO  tests.TestBase - ==================================
14:31:52 INFO  tests.TestBase - Start on method - smokeTest
14:31:52 INFO  tests.TestBase - Start test with Data - []
14:31:52 INFO  tests.TestBase - End off method - smokeTest
14:31:52 INFO  tests.TestBase - ==================================
14:31:52 INFO  tests.TestBase - Start on method - loginNegativeTestWithWrongPassword
14:31:52 INFO  tests.TestBase - Start test with Data - []
14:31:52 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:52 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:52 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:52 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:52 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:52 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:52 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:31:52 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:31:52 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:31:52 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:31:52 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:31:52 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:31:54 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:54 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:54 INFO  tests.TestBase - End off method - loginNegativeTestWithWrongPassword
14:31:54 INFO  tests.TestBase - ==================================
14:31:54 INFO  tests.TestBase - Start on method - loginPositive
14:31:54 INFO  tests.TestBase - Start test with Data - []
14:31:54 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:54 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:54 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:54 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:54 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:54 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:54 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:31:54 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:31:54 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:31:54 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:31:54 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:31:54 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:31:54 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='ADD']
14:31:55 INFO  application.MyListener - The element --> By.xpath: //a[.='ADD'] was found
14:31:55 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:31:55 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:31:55 INFO  tests.TestBase - End off method - loginPositive
14:31:55 INFO  tests.TestBase - ==================================
14:31:55 INFO  tests.TestBase - Start on method - loginPositiveDto
14:31:55 INFO  tests.TestBase - Start test with Data - []
14:31:55 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:55 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:55 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:55 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:55 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:55 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:55 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:31:55 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:31:55 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:31:55 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:31:55 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:31:55 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:31:55 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:31:56 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:31:56 INFO  tests.TestBase - End off method - loginPositiveDto
14:31:56 INFO  tests.TestBase - ==================================
14:31:56 INFO  tests.TestBase - Start on method - loginTestBase
14:31:56 INFO  tests.TestBase - Start test with Data - []
14:31:56 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:56 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:56 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:56 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:56 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:56 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:56 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:31:56 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:31:56 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:31:56 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:31:56 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:31:56 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:31:57 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:57 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:57 INFO  tests.TestBase - End off method - loginTestBase
14:31:57 INFO  tests.TestBase - ==================================
14:31:57 INFO  tests.TestBase - Start on method - loginTestDP_CSV
14:31:57 INFO  tests.TestBase - Start test with Data - [User{email='skelon+4@bk.ru', password='Qwerty$4'}]
14:31:57 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:31:57 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:31:58 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:01 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:01 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:32:01 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:32:01 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:01 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:01 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:32:01 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:32:01 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:32:01 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:32:01 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:32:01 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:32:01 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:32:01 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:32:02 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:02 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:02 INFO  tests.TestBase - End off method - loginTestDP_CSV
14:32:02 INFO  tests.TestBase - ==================================
14:32:02 INFO  tests.TestBase - Start on method - loginTestDP_CSV
14:32:02 INFO  tests.TestBase - Start test with Data - [User{email='skelon+11@bk.ru', password='Qwerty$4'}]
14:32:02 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:02 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:03 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:03 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:03 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:03 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:03 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:32:03 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:32:03 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:32:03 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:32:03 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:32:03 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:32:03 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:32:03 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:32:03 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:03 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:03 INFO  tests.TestBase - End off method - loginTestDP_CSV
14:32:03 INFO  tests.TestBase - ==================================
14:32:03 INFO  tests.TestBase - Start on method - loginTestDP_CSV
14:32:03 INFO  tests.TestBase - Start test with Data - [User{email='skelon+10@bk.ru', password='Qwerty$4'}]
14:32:03 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:03 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:04 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:04 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:04 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:05 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:05 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:32:05 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:32:05 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:32:05 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:32:05 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:32:05 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:32:05 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:32:05 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:32:05 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:05 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:32:05 INFO  tests.TestBase - End off method - loginTestDP_CSV
14:32:05 INFO  tests.TestBase - ==================================
14:32:05 INFO  tests.TestBase - Start on method - loginTestDataProvider
14:32:05 INFO  tests.TestBase - Start test with Data - [skelon+4@bk.ru, Qwerty$4]
14:32:05 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:32:05 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
