15:07:41 INFO  application.ApplicationManager - Start browser FIREFOX
15:07:42 INFO  tests.TestBase - ==================================
15:07:42 INFO  tests.TestBase - Start on method - smokeTest
15:07:42 INFO  tests.TestBase - Start test with Data - []
15:07:44 INFO  tests.TestBase - End off method - smokeTest
15:07:44 INFO  tests.TestBase - ==================================
15:07:44 INFO  tests.TestBase - Start on method - smokeTest
15:07:44 INFO  tests.TestBase - Start test with Data - []
15:07:44 INFO  tests.TestBase - End off method - smokeTest
15:07:44 INFO  tests.TestBase - ==================================
15:07:44 INFO  tests.TestBase - Start on method - loginNegativeTestWithWrongPassword
15:07:44 INFO  tests.TestBase - Start test with Data - []
15:07:44 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:44 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:44 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:44 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:44 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:44 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:44 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
15:07:44 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
15:07:45 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
15:07:45 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
15:07:45 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
15:07:45 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
15:07:46 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:46 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:46 INFO  tests.TestBase - End off method - loginNegativeTestWithWrongPassword
15:07:46 INFO  tests.TestBase - ==================================
15:07:46 INFO  tests.TestBase - Start on method - loginPositive
15:07:46 INFO  tests.TestBase - Start test with Data - []
15:07:46 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:46 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:46 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:46 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:46 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:46 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:46 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
15:07:46 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
15:07:46 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
15:07:46 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
15:07:47 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
15:07:47 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
15:07:47 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='ADD']
15:07:47 INFO  application.MyListener - The element --> By.xpath: //a[.='ADD'] was found
15:07:47 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
15:07:47 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
15:07:47 INFO  tests.TestBase - End off method - loginPositive
15:07:47 INFO  tests.TestBase - ==================================
15:07:47 INFO  tests.TestBase - Start on method - loginPositiveDto
15:07:47 INFO  tests.TestBase - Start test with Data - []
15:07:47 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:47 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:47 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:47 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:47 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:47 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:48 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
15:07:48 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
15:07:48 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
15:07:48 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
15:07:48 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
15:07:48 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
15:07:48 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
15:07:48 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
15:07:49 INFO  tests.TestBase - End off method - loginPositiveDto
15:07:49 INFO  tests.TestBase - ==================================
15:07:49 INFO  tests.TestBase - Start on method - loginTestBase
15:07:49 INFO  tests.TestBase - Start test with Data - []
15:07:49 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:49 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:49 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:49 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:49 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:49 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:49 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
15:07:49 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
15:07:49 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
15:07:49 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
15:07:50 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
15:07:50 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
15:07:50 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:53 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:53 INFO  tests.TestBase - End off method - loginTestBase
15:07:53 INFO  tests.TestBase - ==================================
15:07:53 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:07:53 INFO  tests.TestBase - Start test with Data - [User{email='skelon+4@bk.ru', password='Qwerty$4'}]
15:07:53 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:56 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:56 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
15:07:56 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
15:07:57 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:57 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:57 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:57 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:57 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
15:07:57 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
15:07:58 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
15:07:58 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
15:07:58 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
15:07:58 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
15:07:58 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
15:07:59 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
15:07:59 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:59 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:07:59 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:07:59 INFO  tests.TestBase - ==================================
15:07:59 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:07:59 INFO  tests.TestBase - Start test with Data - [User{email='skelon+11@bk.ru', password='Qwerty$4'}]
15:07:59 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:07:59 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
15:08:00 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
15:08:00 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
