14:55:10 INFO  application.ApplicationManager - Start browser FIREFOX
14:55:11 INFO  tests.TestBase - ==================================
14:55:11 INFO  tests.TestBase - Start on method - smokeTest
14:55:11 INFO  tests.TestBase - Start test with Data - []
14:55:13 INFO  tests.TestBase - End off method - smokeTest
14:55:13 INFO  tests.TestBase - ==================================
14:55:13 INFO  tests.TestBase - Start on method - smokeTest
14:55:13 INFO  tests.TestBase - Start test with Data - []
14:55:13 INFO  tests.TestBase - End off method - smokeTest
14:55:13 INFO  tests.TestBase - ==================================
14:55:13 INFO  tests.TestBase - Start on method - loginNegativeTestWithWrongPassword
14:55:13 INFO  tests.TestBase - Start test with Data - []
14:55:13 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:13 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:13 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:13 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:13 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:13 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:13 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:55:13 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:55:14 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:55:14 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:55:14 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:55:14 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:55:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:15 INFO  tests.TestBase - End off method - loginNegativeTestWithWrongPassword
14:55:15 INFO  tests.TestBase - ==================================
14:55:15 INFO  tests.TestBase - Start on method - loginPositive
14:55:15 INFO  tests.TestBase - Start test with Data - []
14:55:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:15 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:55:15 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:55:15 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:55:16 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:55:16 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:55:16 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:55:16 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='ADD']
14:55:16 INFO  application.MyListener - The element --> By.xpath: //a[.='ADD'] was found
14:55:16 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:55:16 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:55:16 INFO  tests.TestBase - End off method - loginPositive
14:55:16 INFO  tests.TestBase - ==================================
14:55:16 INFO  tests.TestBase - Start on method - loginPositiveDto
14:55:16 INFO  tests.TestBase - Start test with Data - []
14:55:16 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:16 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:16 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:16 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:16 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:16 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:17 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:55:17 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:55:17 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:55:17 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:55:17 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:55:17 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:55:17 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:55:17 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:55:18 INFO  tests.TestBase - End off method - loginPositiveDto
14:55:18 INFO  tests.TestBase - ==================================
14:55:18 INFO  tests.TestBase - Start on method - loginTestBase
14:55:18 INFO  tests.TestBase - Start test with Data - []
14:55:18 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:18 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:18 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:18 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:18 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:18 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:18 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
14:55:18 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
14:55:18 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
14:55:18 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
14:55:18 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
14:55:18 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
14:55:19 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:22 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:22 INFO  tests.TestBase - End off method - loginTestBase
14:55:22 INFO  tests.TestBase - ==================================
14:55:22 INFO  tests.TestBase - Start on method - loginTestDP_CSV
14:55:22 INFO  tests.TestBase - Start test with Data - [User{email='skelon+4@bk.ru', password='Qwerty$4'}]
14:55:22 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:25 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:25 INFO  application.MyListener - Start find element by --> By.xpath: //button[.='Sign Out']
14:55:25 INFO  application.MyListener - The element --> By.xpath: //button[.='Sign Out'] was found
14:55:26 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:26 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:26 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
14:55:26 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
14:55:26 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
